"received_message","type","reply_message","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tmdb_id"
"ג'יני וג'ורג'יה עונה 3 פרק 1","","עונה 3
פרק 1
https://drive.google.com/file/d/1g0NUUiwQBhhBS74jA81b4auVCu7MyHM-/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 2","","עונה 3
פרק 2
https://drive.google.com/file/d/1v-YIuH_v0n68pI68Y_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 3","","עונה 3
פרק 3
https://drive.google.com/file/d/1-V_H_v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 4","","עונה 3
פרק 4
https://drive.google.com/file/d/1_f_p-vV_H_v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 5","","עונה 3
פרק 5
https://drive.google.com/file/d/1vV_H_v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 6","","עונה 3
פרק 6
https://drive.google.com/file/d/1_H_v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 7","","עונה 3
פרק 7
https://drive.google.com/file/d/1v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 8","","עונה 3
פרק 8
https://drive.google.com/file/d/1-vV_H_v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 9","","עונה 3
פרק 9
https://drive.google.com/file/d/1_vV_H_v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
"ג'יני וג'ורג'יה עונה 3 פרק 10","","עונה 3
פרק 10
https://drive.google.com/file/d/1v_0_N_6_8_f_p-vV_H_v_0_N_6_8/view?usp=drive_web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117581"
